Title,Grade,Subject,Topic,Medium,Source,Published On,File Type,No. of Pages,Download Link
Grade 1 Tamil Medium,,,,,,,,,
Grade 2 Tamil Medium,,,,,,,,,
Grade 3 Tamil Medium,,,,,,,,,
Grade 4 Tamil Medium,,,,,,,,,
Grade 5 Tamil Medium,,,,,,,,,
Higher National Diploma in English- HNDE,,,,,,,,,
Grade 1 Maths 2nd Term Paper Periyakallar – 2024,1,Maths,2nd Term Paper,Tamil Medium,e-kalvi,,,7,https://drive.google.com/uc?export=download&id=1cU8LN9tL--jooYcJ0JTqtDNTwjbfL_tB
Grade 1 Maths Textbook PDF | Tamil Medium,Grade 1,Maths,Textbook,Tamil Medium,Edupub,,,76,https://drive.google.com/uc?export=download&id=1Ntr9AVvJDyEmpSRwqbDpntxDphpJOiIa
Grade 1 Tamil Textbook PDF,Grade 1,Tamil,Textbooks,Tamil Medium,ekalvi,,,N/A,https://drive.google.com/uc?export=download&id=1H0tInj5owDdm-mIdShUolNsF_A5_TwPC
Grade 1 Islam Textbook Tamil Medium,Grade 1,Islam,Textbook,Tamil Medium,Edupub.gov.lk,,,48,http://www.edupub.gov.lk/Administrator/Tamil/1/Islam%20G1%20T/book.pdf
Grade 1 Maths Past Papers – 2020 Vavuniya,1,Maths,Model Paper,Tamil Medium,ekalvi,,,17,https://drive.google.com/uc?export=download&id=1_QvGRRcozSysCPK3RVH4C_qdnR7eavT5
2023 (2024) OL Business Studies Marking Scheme Tamil Medium,O/L,Business & Accounting Studies,Marking Scheme,Tamil Medium,ekalvi,,,28,https://drive.google.com/uc?export=download&id=1u6-CQydRs7ostj_gfgknEN9oL9LXir6J
2023 (2024) OL Business Studies Past Paper Tamil Medium,O/L,Business & Accounting Studies,Past Paper,Tamil Medium,ekalvi,,,12,https://drive.google.com/uc?export=download&id=1RUVpKZatr7uqNiv9TmJiFXqcJ-foLx8b
Grade 3 Maths Exam Paper Tamil Medium,,,,,,,,,
Grade 3 English Worksheet,,,,,,,,,
Grade 3 English Exam Papers,,,,,,,,,
Grade 3 Islam Tamil Medium,03,Islam,Past Paper,Tamil Medium,ekalvi,,,,
Grade 3 Teachers Guide Tamil Medium,,,,,,,,,
Grade 1 English Model Paper 4,1,English,Model Paper 4,English Medium,ekalvi,,,3,https://drive.google.com/uc?export=download&id=1eb0Bd7GSO86ds6zIqcV9LdnXuYhllRQb
Grade 4 Tamil Medium,,,,,,,,,
Grade 4 Scholarship Model Papers – Pulamai Kathir in Tamil,,,,,,,,,
Grade 4 ERA Papers Tamil Medium,,,,,,,,,
Grade 4 Tamil Model Paper – Pulamai Paathai,,,,,,,,,https://drive.google.com/uc?export=download&id=1CFJR2asUxuqjAG9RS5yJGOj32hJt2fHy
Grade 4 Exam Papers Tamil Medium – Kahawatta Worksheet,,,,,,,,,
Grade 4 Tamil Past Papers,,,,,,,,,
Grade 4 Maths Worksheets Tamil Medium,,,,,,,,,https://drive.google.com/uc?export=download&id=1PClWbpQERiXBw7--1unbuk5I_RtF3x7z
Grade 4 Maths Past Papers Tamil Medium,4,Maths,Past Papers,Tamil Medium,ekalvi,,,,
Grade 4 English Worksheets,,,,,,,,,https://drive.google.com/open?id=1QHla12W-rNfJjbYJq0vfUFW0vtH-PQfl
Grade 4 English Term Exam Papers,,,,,,,,,
Grade 4 Tamil Exam Papers,Grade,Tamil,Past Paper,Tamil Medium,ekalvi,,,,https://drive.google.com/uc?export=download&id=18nSLfbzjGpco2pHUtoamXjf-mesGMOC9
Grade 4 Tamil Model Paper,,,,,,,,,https://drive.google.com/uc?export=download&id=13yq129W9_fIRIcIta9WC0J_1IzhOf6g3
Grade 4 Teachers Guide Tamil Medium,,,,,,,,,
Grade 4 Textbooks PDF Tamil Medium,Grade 4,All,Textbooks,Tamil Medium,ekalvi,,,N/A,
Grade 5 Tamil Medium,,,,,,,,,
Grade 5 Scholarship Model Papers 2023 Tamil Medium,Grade 5,Scholarship Paper,Past Paper,Tamil Medium,ekalvi,,,N/A,
2022 Grade 5 Scholarship Model Paper Tamil Medium | S.Laxmikanth,Grade 5,Scholarship,Model Paper,Tamil Medium,ekalvi,,,47,
2022 Grade 5 Scholarship Model Paper Tamil Medium | Matale,Grade 5,Scholarship,Model Paper,Tamil Medium,ekalvi,,,16,
Scholarship Model Paper 2022 | Tamil Medium,5,Scholarship,Model Paper,Tamil Medium,ekalvi,,,16,https://drive.google.com/uc?export=download&id=1oESIb8QIK3QnvHnO0csfJAYnntejxGtb
Grade 5 Learning Guide Tamil Medium,5,Scholarship,Learning Guide,Tamil Medium,ekalvi,,,68,https://drive.google.com/uc?export=download&id=15CWtfTIu0CPJiRDMm75A__B5I6r__xWK
Grade 5 Model Paper – Thinakaran,5,Scholarship,Model Paper,Tamil Medium,ekalvi,,,04,https://drive.google.com/uc?export=download&id=1bVCJnNAMof_e6On2BZzoUtkc3UlIsfsZ
Grade 5 Pulamai Maiyam – Worksheet 5,5,Scholarship,Model Paper,Tamil Medium,ekalvi,,,08,https://drive.google.com/uc?export=download&id=1QvC38IIKdmDqnTmcfyTQvJ2Mq0M2sZiS
Grade 5 Arivu Thaaragai Worksheet 12,5,Scholarship,Model Paper,Tamil Medium,ekalvi,,,08,https://drive.google.com/uc?export=download&id=1E_1jlz3uvX_dlpkLEuClkNpAe1GmryU8
Grade 5 Scholarship Model Paper Tamil Medium – Sisu Saviya 2022,5,Scholarship,Model Paper,Tamil Medium,ekalvi,,,16,https://drive.google.com/uc?export=download&id=1S6sG1K1VN2_PWxWS1aUCe9iHQ0yysyGC
Grade 5 Scholarship Model Paper Tamil Medium – Arivuthaaragai 2022,5,Scholarship,Model Paper,Tamil Medium,ekalvi,,,16,https://drive.google.com/uc?export=download&id=1V33uXnPSNEju-k3XPkCC16ICmLBYP6sn
"Grade 5 Maths, IQ Seminar Paper Tamil Medium",5,IQ,Seminar Paper,Tamil Medium,ekalvi,,,34,https://drive.google.com/uc?export=download&id=1Q1c6P62h6yNl5-rZ-xCZIZPzSVT_Wgts
Grade 5 Scholarship Model Paper Vetri Paathai – 1,5,Scholarship,Model Paper,Tamil Medium,ekalvi,,,16,https://drive.google.com/uc?export=download&id=1HfTds_t7neZksnlNS4fLSTYkOB_Dqb8Q
Grade 5 ERA Past Paper Tamil Medium – Ratnapura,5,ERA,Model Paper,Tamil Medium,ekalvi,,,04,https://drive.google.com/uc?export=download&id=1NlnH2MA5NpumYrfglC2TYqh_mAIsKCdW
Grade 5 English Past Paper Questions,5,Scholarship,Past Paper,English,ekalvi,,,11,https://drive.google.com/uc?export=download&id=1xLNE0oCqDbIFrhSCRcZ4zqV3E5wDaUxV
Grade 5 Scholarship Model Paper Tamil Medium – Magudam,5,Scholarship,Model Paper,Tamil Medium,ekalvi,,,08,https://drive.google.com/uc?export=download&id=1-1pDj4eG4Xr6sbiC_VddN3QYpg4RqGrV
Grade 5 Scholarship Seminar Paper 2021,Grade 5,Tamil,Seminar Paper,Tamil Medium,ekalvi,,,28,https://drive.google.com/uc?export=download&id=172yCg2_95aKjeVmpMVE-MhBpq8dydtsK
Grade 5 Maths Paper Tamil Medium 2021 | Vetri Paathai,5,Maths,3rd Term Paper,Tamil Medium,ekalvi,,,04,https://drive.google.com/uc?export=download&id=1cLnYV8Eozg8PUOU2R3ZMfF35n8r3LzBo
Grade 5 Scholarship Paper 2022 Tamil Medium,Grade 5,Scholarship Paper,Past Paper,Tamil Medium,ekalvi,,,17,https://drive.google.com/uc?export=download&id=1vrtVOPbm2_wX7h-DNKWP-zONiy1LT_co
Scholarship Model Paper 2022 Pulamai Maiyam | Tamil Medium,5,Scholarship,Model Paper,Tamil Medium,ekalvi,,,17,https://drive.google.com/uc?export=download&id=1JX1wbOimbNxBL-lc7cqObT_S6Ro0rEGJ
Grade 5 Pulamai Saaral Worksheet Tamil Medium 2021,Grade 5,Scholarship Model Paper,Model Paper,Tamil Medium,ekalvi,,,08,https://drive.google.com/uc?export=download&id=1ldtiVLafZNRQaLPChSbvXjdHJRGyvLiE
Grade 5 Maths Paper Tamil Medium 2021 | Vetripaathai,Grade 5,Maths,Past Paper,Tamil Medium,ekalvi,,,04,https://drive.google.com/uc?export=download&id=1je1M39J8r9ejXZBizhBXU-A5-vi3rjBF
Grade 5 Scholarship Model Paper 2022 Uwa Province | Tamil Medium,5,Scholarship,Model Paper,Tamil Medium,ekalvi,,,17,https://drive.google.com/uc?export=download&id=1Dlp57k1FmT2dQRXcvePzhNBBVFXX_pan
Grade 5 Scholarship Model Paper 2021 Jaffna Hindu | Tamil Medium,5,Scholarship,Model Paper,Tamil Medium,ekalvi,,,17,https://drive.google.com/uc?export=download&id=1Shbu3jIQp2HmONidaC_r2w1qQCtPIR5Y
Grade 5 Scholarship Model Paper 2021 | Pulamai Pulari | Tamil Medium,5,Scholarship,Model Paper,Tamil Medium,ekalvi,,,16,https://drive.google.com/uc?export=download&id=1UoDnytKHkcDtQMluiSJaudFnig7HoA6j
Grade 5 Scholarship Model Papers 2021 Tamil Medium,,,,,,,,,https://drive.google.com/uc?export=download&id=1I7Djho3AVqa9zsuvNGSue-HOsgPnYda3
Grade 5 Scholarship Model Paper 2021 in Tamil,,,,,,,,,https://drive.google.com/file/d/1okGNzdcDSBBmTYnpES-eLeS2aymgpIz5
Grade 5 Pulamai Thedal Worksheets Tamil Medium 2021,,,,,,,,,
Grade 5 Scholarship Model Paper Tamil Medium 2021,,,,,,,,,
Grade 5 Scholarship Exam Model Papers 2020 Tamil,,,,,,,,,
Grade 5 Scholarship Model Papers 2020 Tamil – S.Mohan,,,,,,,,,
Grade 5 Scholarship Paper 2020 Tamil Medium,,,,,,,,,https://drive.google.com/uc?export=download&id=1lXDfgGg5IN0pbzcXBH8h42Ghyrj1k6U1
Grade 5 Tamil Exam Papers – Arivumathi (2019),,,,,,,,,
